age,sex,province,health,n
30,Female,QC,Poor,1
30,Female,QC,Very good,14
30,Female,SK,Excellent,4
30,Female,SK,Fair,8
30,Female,SK,Very good,2
30,Male,AB,Excellent,4
30,Male,AB,Fair,4
30,Male,AB,Other,1
30,Male,AB,Poor,2
30,Male,AB,Very good,9
30,Male,BC,Excellent,5
30,Male,BC,Fair,8
30,Male,BC,Poor,1
30,Male,BC,Very good,10
30,Male,BC,NA,1
30,Male,MB,Excellent,4
30,Male,MB,Fair,4
30,Male,MB,Very good,1
30,Male,NB,Fair,3
30,Male,NB,Very good,2
30,Male,NL,Excellent,2
30,Male,NL,Fair,2
30,Male,NL,Very good,3
30,Male,NS,Excellent,2
30,Male,NS,Fair,2
30,Male,NS,Poor,1
30,Male,NS,Very good,5
30,Male,ON,Excellent,15
30,Male,ON,Fair,9
30,Male,ON,Poor,1
30,Male,ON,Very good,17
30,Male,ON,NA,1
30,Male,PE,Excellent,3
30,Male,PE,Fair,2
30,Male,PE,Very good,2
30,Male,QC,Excellent,14
30,Male,QC,Fair,9
30,Male,QC,Very good,13
30,Male,SK,Excellent,7
30,Male,SK,Fair,3
30,Male,SK,Very good,4
31,Female,AB,Excellent,5
31,Female,AB,Fair,8
31,Female,AB,Very good,5
31,Female,BC,Excellent,2
31,Female,BC,Fair,8
31,Female,BC,Very good,2
31,Female,MB,Excellent,4
31,Female,MB,Fair,7
31,Female,MB,Very good,8
31,Female,NB,Excellent,2
31,Female,NB,Fair,3
31,Female,NB,Very good,4
31,Female,NL,Excellent,4
31,Female,NL,Fair,2
31,Female,NL,Very good,4
31,Female,NS,Excellent,2
31,Female,NS,Fair,2
31,Female,NS,Very good,2
31,Female,ON,Excellent,11
31,Female,ON,Fair,13
31,Female,ON,Poor,1
31,Female,ON,Very good,17
31,Female,PE,Excellent,2
31,Female,PE,Fair,1
31,Female,QC,Excellent,18
31,Female,QC,Fair,8
31,Female,QC,Poor,1
31,Female,QC,Very good,16
31,Female,SK,Excellent,2
31,Female,SK,Fair,3
31,Female,SK,Very good,2
31,Male,AB,Excellent,8
31,Male,AB,Fair,5
31,Male,AB,Very good,5
31,Male,BC,Excellent,1
31,Male,BC,Fair,3
31,Male,BC,Very good,8
31,Male,MB,Excellent,3
31,Male,MB,Fair,5
31,Male,MB,Very good,4
31,Male,NB,Excellent,2
31,Male,NB,Fair,1
31,Male,NB,Very good,2
31,Male,NL,Excellent,1
31,Male,NL,Fair,3
31,Male,NL,Very good,2
31,Male,NS,Fair,1
31,Male,NS,Very good,3
31,Male,NS,NA,1
31,Male,ON,Excellent,11
31,Male,ON,Fair,15
31,Male,ON,Very good,10
31,Male,ON,NA,1
31,Male,PE,Excellent,1
31,Male,PE,Fair,2
31,Male,PE,Very good,1
31,Male,QC,Excellent,5
31,Male,QC,Fair,10
31,Male,QC,Very good,14
31,Male,QC,NA,1
31,Male,SK,Excellent,1
31,Male,SK,Fair,3
31,Male,SK,Very good,4
32,Female,AB,Excellent,7
32,Female,AB,Fair,8
32,Female,AB,Very good,8
32,Female,BC,Excellent,8
32,Female,BC,Fair,8
32,Female,BC,Poor,1
32,Female,BC,Very good,8
32,Female,MB,Fair,8
32,Female,MB,Very good,5
32,Female,NB,Excellent,3
32,Female,NB,Fair,3
32,Female,NB,Poor,1
32,Female,NB,Very good,11
32,Female,NL,Excellent,3
32,Female,NL,Fair,2
32,Female,NL,Very good,2
32,Female,NS,Excellent,2
32,Female,NS,Fair,4
32,Female,NS,Very good,5
32,Female,ON,Excellent,9
32,Female,ON,Fair,14
32,Female,ON,Very good,25
32,Female,PE,Excellent,1
32,Female,PE,Fair,2
32,Female,PE,Very good,3
32,Female,QC,Excellent,7
32,Female,QC,Fair,11
32,Female,QC,Very good,4
32,Female,SK,Excellent,1
32,Female,SK,Fair,4
32,Female,SK,Very good,4
32,Male,AB,Excellent,2
32,Male,AB,Fair,2
32,Male,AB,Poor,1
32,Male,AB,Very good,6
32,Male,AB,NA,1
